,exchange,global_id,payload,timetsamp
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-9b6f2be4-1a66-42eb-8073-99de28c6aa97', u'_context_quota_class': None, u'_msg_id': u'1319a7478c9e4086ab82f93eedb588e3', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_1ce91ffe04a24805ac367265bc89e0ee', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_user': None, u'method': u'service_update', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'values': {u'report_count': 11982697.0}, u'service': {u'binary': u'nova-compute', u'deleted': 0.0, u'created_at': u'2013-10-18T19:09:58.000000', u'updated_at': u'2017-08-15T21:39:14.427038', u'report_count': 11982696.0, u'topic': u'compute', u'host': u'qos102', u'disabled': False, u'deleted_at': None, u'disabled_reason': None, u'id': 6.0}}, u'_context_timestamp': u'2017-08-15T21:39:24.408604', u'_unique_id': u'ebb5928bf311425eb56f21b8f82cdf48', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-eab3a524-f0d5-4fc4-bd55-769a435905fe', u'_context_quota_class': None, u'_msg_id': u'35e8c7bcff044f93be2e456f3cd0d8f0', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:20.380115', u'method': u'service_update', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'values': {u'report_count': 11859317.0}, u'service': {u'disabled': False, u'binary': u'nova-compute', u'deleted': 0.0, u'created_at': u'2013-10-18T19:12:02.000000', u'updated_at': u'2017-08-15T21:39:10.399361', u'report_count': 11859316.0, u'topic': u'compute', u'host': u'qos105', u'deleted_at': None, u'disabled_reason': None, u'id': 9.0}}, u'_unique_id': u'c8e5c7622cb04740a0e1e03b4ab41017', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'3dc7dfff0cc440189b6952fa84c00046', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.16', u'objmethod': u'get_by_host_and_node', u'args': [u'qos105', u'qos105'], u'objname': u'InstanceList', u'kwargs': {u'expected_attrs': [u'system_metadata', u'numa_topology']}}, u'_unique_id': u'41bd6bd4a76b4773a107c07ab2c0559a', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'933dd42b76734c0dab3407faf921c746', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'37f7058c-8e7e-49fd-8964-3ab0948de9d5'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'7b4264474f1541bda4f110a94b0d55c8', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'4428b518a7dd493eb5337f7d717cf47f', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'ea4f8955-d7cc-4b74-aa4f-0629576a233b'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'4e037db162a745b2a84ebfa38b9b0282', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'c8388c1aad6946bcbccf8a38baec0672', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'8089eb99-8f33-42cb-a747-603fd18c75d3'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'9b7dd08c238040dfaef1d5c90fd2f7d1', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'b2591de605f9490194733fb7ae743b77', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'6da27ab0-9a59-4e16-9e68-183a668ef17a'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'3b335afb600240598d4c47f65aeec314', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'fd6ec2dfeec1400b8d5e6eaa12004ff9', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'c381277f-6583-449d-8c88-07e9db1ea62c'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'14d5e35cd3ca433eb87a2b6431850dc7', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'10e8d582b456457d8ac39b3642267aa5', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'867f8190-7e9a-43c2-ac41-479df63e3743'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'edba199a14b241b9bbf60d6901b581d0', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'e2fcb8cc0a944baca080b2e753799e86', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'3fb9c5dc-bf45-49d9-8472-b41666cbfc22'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'1b2d517ba1db44f0b1dab185b2065cd8', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
